RDA element,RDA recording method,Alignment,M21 Authority encoding
category of family,IRI,aligns with,376 ** $1
related person of family,IRI,aligns with,376 ** $1
related timespan of agent,IRI,aligns with,376 ** $1
related timespan of collective agent,IRI,aligns with,376 ** $1
related timespan of family,IRI,aligns with,376 ** $1
source consulted,IRI,aligns with,376 ** $1
source consulted,IRI,aligns with,376 ** $1
script,identifier,aligns with,376 ** $6
category of agent,unstructured description,aligns with,376 ** $a
category of agent,structured description,aligns with,376 ** $a
category of collective agent,unstructured description,aligns with,376 ** $a
category of collective agent,structured description,aligns with,376 ** $a
category of family,unstructured description,aligns with,376 ** $a
category of family,structured description,aligns with,376 ** $a
prominent member of family,unstructured description,aligns with,376 ** $b
prominent member of family,structured description,aligns with,376 ** $b
related person of family,structured description,aligns with,376 ** $b
hereditary term of honour,unstructured description,aligns with,376 ** $c
hereditary term of honour,structured description,aligns with,376 ** $c
related timespan of agent,structured description,aligns with,376 ** $s
related timespan of collective agent,structured description,aligns with,376 ** $s
related timespan of family,structured description,aligns with,376 ** $s
related timespan of agent,structured description,aligns with,376 ** $t
related timespan of collective agent,structured description,aligns with,376 ** $t
related timespan of family,structured description,aligns with,376 ** $t
language of agent,identifier,aligns with,377 ** $0
language of collective agent,identifier,aligns with,377 ** $0
language of corporate body,identifier,aligns with,377 ** $0
language of expression,identifier,aligns with,377 ** $0
language of family,identifier,aligns with,377 ** $0
language of person,identifier,aligns with,377 ** $0
source consulted,identifier,aligns with,377 ** $0
language of agent,IRI,aligns with,377 ** $1
language of collective agent,IRI,aligns with,377 ** $1
language of corporate body,IRI,aligns with,377 ** $1
language of expression,IRI,aligns with,377 ** $1
language of family,IRI,aligns with,377 ** $1
language of person,IRI,aligns with,377 ** $1
source consulted,IRI,aligns with,377 ** $1
source consulted,identifier,aligns with,377 ** $2
script,identifier,aligns with,377 ** $6
language of agent,structured description,aligns with,377 ** $a
language of collective agent,structured description,aligns with,377 ** $a
language of corporate body,structured description,aligns with,377 ** $a
language of expression,structured description,aligns with,377 ** $a
language of family,structured description,aligns with,377 ** $a
language of person,structured description,aligns with,377 ** $a
language of agent,structured description,aligns with,377 ** $l
language of collective agent,structured description,aligns with,377 ** $l
language of expression,structured description,aligns with,377 ** $l
script,identifier,aligns with,378 ** $6
fuller form of name,unstructured description,aligns with,378 ** $q
given name,unstructured description,aligns with,378 ** $q
category of expression,identifier,aligns with,380 ** $0
category of work,identifier,aligns with,380 ** $0
source consulted,identifier,aligns with,380 ** $0
category of expression,IRI,aligns with,380 ** $1
category of work,IRI,aligns with,380 ** $1
source consulted,IRI,aligns with,380 ** $1
source consulted,identifier,aligns with,380 ** $2
script,identifier,aligns with,380 ** $6
category of expression,unstructured description,aligns with,380 ** $a
category of expression,structured description,aligns with,380 ** $a
category of work,unstructured description,aligns with,380 ** $a
category of work,structured description,aligns with,380 ** $a
nature of content,unstructured description,aligns with,380 ** $a
nature of content,structured description,aligns with,380 ** $a
source consulted,identifier,aligns with,381 ** $0
source consulted,IRI,aligns with,381 ** $1
source consulted,identifier,aligns with,381 ** $2
script,identifier,aligns with,381 ** $6
medium of performance of musical content of representative expression,identifier,aligns with,382 ** $0
source consulted,identifier,aligns with,382 ** $0
medium of performance of musical content of representative expression,IRI,aligns with,382 ** $1
source consulted,IRI,aligns with,382 ** $1
source consulted,identifier,aligns with,382 ** $2
script,identifier,aligns with,382 ** $6
medium of performance of musical content of representative expression,structured description,aligns with,382 ** $a
medium of performance of musical content of representative expression,structured description,aligns with,382 ** $d
medium of performance of musical content of representative expression,structured description,aligns with,382 ** $p
numeric designation of musical work,identifier,aligns with,383 ** $a
serial number of musical work,identifier,aligns with,383 ** $a
numeric designation of musical work,identifier,aligns with,383 ** $b
opus number,identifier,aligns with,383 ** $b
numeric designation of musical work,identifier,aligns with,383 ** $c
thematic index number,identifier,aligns with,383 ** $c
script,identifier,aligns with,384 ** $6
key of representative expression,structured description,aligns with,384 ** $a
source consulted,identifier,aligns with,385 ** $0
source consulted,IRI,aligns with,385 ** $1
source consulted,identifier,aligns with,385 ** $2
script,identifier,aligns with,385 ** $6
source consulted,identifier,aligns with,386 ** $0
source consulted,IRI,aligns with,386 ** $1
source consulted,identifier,aligns with,386 ** $2
script,identifier,aligns with,386 ** $6
category of person,unstructured description,aligns with,386 ** $a
related timespan of expression,identifier,aligns with,388 ** $0
related timespan of work,identifier,aligns with,388 ** $0
source consulted,identifier,aligns with,388 ** $0
related timespan of expression,IRI,aligns with,388 ** $1
related timespan of work,IRI,aligns with,388 ** $1
source consulted,IRI,aligns with,388 ** $1
source consulted,identifier,aligns with,388 ** $2
script,identifier,aligns with,388 ** $6
related timespan of expression,structured description,aligns with,388 ** $a
related timespan of work,structured description,aligns with,388 ** $a
given name,unstructured description,aligns with,400  0* $a
given name,unstructured description,aligns with,400  0* $q
script,identifier,aligns with,400 ** $6
name of agent,unstructured description,aligns with,"400 ** $a, b"
variant name of agent,unstructured description,aligns with,"400 ** $a, b"
variant access point for work,structured description,aligns with,"400 ** $a, b, c, d, f, g, m, n, p, q, r, t"
