*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
is cadenza composed for expression,rdae:cadenzaComposedForExpression.en,"Relates an expression to an expression of a musical work, such as a concerto, to which is added an expression of musical work that is an ornamental passage for a soloist by the same or a different composer.",,,,,cadenza composed for expression,"An expression of a musical work, such as a concerto, to which is added an expression of musical work that is an ornamental passage for a soloist by the same or a different composer.",rdae:P20083,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is libretto for expression,rdae:librettoForExpression.en,"Relates an expression to an expression of a musical work such as an opera or other work for the musical stage, or an oratorio, that uses the text of a related work.",,,,,libretto for expression,"An expression of a musical work such as an opera or other work for the musical stage, or an oratorio, that uses the text of a related work.",rdae:P20084,property,rdac:C10006,rdae:P20100,,,Published,24.5,2,
has incidental music expression,rdae:incidentalMusicExpression.en,Relates an expression to an expression of a musical work that that provides incidental music for a play or other spoken work for the stage.,,,,,incidental music expression,An expression of a musical work that that provides incidental music for a play or other spoken work for the stage.,rdae:P20085,property,rdac:C10006,rdae:P20243,,,Published,24.5,2,
is remade as expression,rdae:remadeAsExpression.en,"Relates an expression to an expression of a motion picture, radio program, television program, or video that is based on an earlier work.",,,,,remade as expression,"An expression of a new motion picture, radio program, television program, or video that is based on an earlier work.",rdae:P20086,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is set to music as expression,rdae:setToMusicAsExpression.en,"Relates an expression to an expression of a non-dramatic musical work, other than an oratorio, that uses the text of an expression of another work.",,,,,set to music as expression,"An expression of a non-dramatic musical work, other than an oratorio, that uses the text of an expression of another work.",rdae:P20087,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is adapted as novel expression,rdae:adaptedAsNovelExpression.en,Relates an expression to an expression of a novel that is adapted from an expression of another work.,,,,,adapted as novel expression,An expression of a novel that is adapted from an expression of another work.,rdae:P20088,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
is appendix to expression,rdae:appendixToExpression.en,Relates an expression to an expression of a work whose content is augmented with content from an expression of a related work.,"Includes lists of references, statistical tables, and explanatory matter that are not essential to the completeness of the content.",,,,appendix to expression,An expression of a work whose content is augmented with content from an expression of a related work.,rdae:P20089,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is abstracted in expression,rdae:abstractedInExpression.en,Relates an expression to an expression of a work that is an abstracting and indexing service that abstracts the contents of another expression.,,,,,abstracted in expression,An expression of a work that is an abstracting and indexing service that abstracts the contents of another expression.,rdae:P20090,property,rdac:C10006,rdae:P20203,,,Published,24.5,2,
is indexed in expression (Deprecated),rdae:indexedInExpression.en,Relates an expression to an expression of a work that is an abstracting and indexing service that indexes the contents of a source expression. (Deprecated),,,,,indexed in expression (Deprecated),An expression of a work that is an abstracting and indexing service that indexes the contents of an expression of another work. (Deprecated),rdae:P20091,property,rdac:C10006,rdae:P20203,,,Deprecated,24.5,2,
is adapted as choreography expression,rdae:adaptedAsChoreographyExpression.en,Relates an expression to an expression of a work consisting of movement based on an expression of another work.,,,,,adapted as choreography expression,An expression of a work that consists of movement based on an expression of another work.,rdae:P20092,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
has errata expression,rdae:errataExpression.en,"Relates an expression to an expression of a work consisting of errors discovered after publication of a predominant work, with their corrections.",,,,,errata expression,"An expression of a work that consists of errors discovered after the publication of a predominant work, with their corrections.",rdae:P20093,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
has illustrations expression,rdae:illustrationsExpression.en,Relates an expression to an expression of a work consisting of pictorial content designed to explain or decorate an augmented expression.,,,,,illustrations expression,An expression of a work that consists of pictorial content designed to explain or decorate an augmented expression.,rdae:P20094,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
is adapted as motion picture screenplay expression,rdae:adaptedAsMotionPictureScreenplayExpression.en,"Relates an expression to an expression of a work that consists of a screenplay for a moving image work, based on an expression of another work.",,,,,adapted as motion picture screenplay expression,"An expression of a work that consists of a screenplay for a moving image work, based on an expression of another work.",rdae:P20095,property,rdac:C10006,rdae:P20096,,,Published,24.5,3,
is adapted as screenplay expression,rdae:adaptedAsScreenplayExpression.en,"Relates an expression to an expression of a work that consists of a screenplay for a motion picture, television program, or video, based on an expression of another work.",,,,,adapted as screenplay expression,"An expression of a work that consists of a screenplay for a motion picture, television program, or video, based on an expression of another work.",rdae:P20096,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
