*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
is adapted as choreography work,rdaw:adaptedAsChoreographyWork.en,Relates a work to a work that is a choreographic work based on another work.,,,,,,adapted as choreography work,A work that is a choreographic work based on another work.,rdaw:P10091,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has errata work,rdaw:errataWork.en,"Relates a work to a work that consists of errors discovered after the publication of a predominant work, with their corrections.",,,,,,errata work,"A work that consists of errors discovered after the publication of a predominant work, with their corrections.",rdaw:P10092,property,rdac:C10001,rdaw:P10108,,Published,24.5,2,
has illustrations work,rdaw:illustrationsWork.en,Relates a work to a work that consists of pictorial content designed to explain or decorate an augmented work.,,,,,,illustrations work,A work that consists of pictorial content designed to explain or decorate an augmented work.,rdaw:P10093,property,rdac:C10001,rdaw:P10108,,Published,24.5,2,
is adapted as motion picture screenplay work,rdaw:adaptedAsMotionPictureScreenplayWork.en,"Relates a work to a work that consists of a screenplay for a motion picture, based on another work.",,,,,,adapted as motion picture screenplay work,"A work that consists of a screenplay for a motion picture, based on another work.",rdaw:P10094,property,rdac:C10001,rdaw:P10095,,Published,24.5,2,
is adapted as screenplay work,rdaw:adaptedAsScreenplayWork.en,"Relates a work to a work that consists of a screenplay for a motion picture, television program, or video, based on another work.",,,,,,adapted as screenplay work,"A work that consists of a screenplay for a motion picture, television program, or video, based on another work.",rdaw:P10095,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is adapted as television screenplay work,rdaw:adaptedAsTelevisionScreenplayWork.en,"Relates a work to a work that consists of a screenplay for a television program, based on another work.",,,,,,adapted as television screenplay work,"A work that consists of a screenplay for a television program, based on another work.",rdaw:P10096,property,rdac:C10001,rdaw:P10095,,Published,24.5,2,
is adapted as video screenplay work,rdaw:adaptedAsVideoScreenplayWork.en,"Relates a work to a work that consists of a screenplay for a video, based on another work.",,,,,,adapted as video screenplay work,"A work that consists of a screenplay for a video, based on another work.",rdaw:P10097,property,rdac:C10001,rdaw:P10095,,Published,24.5,2,
is adapted as radio script work,rdaw:adaptedAsRadioScriptWork.en,"Relates a work to a work that consists of a script for a radio program, based on another work.",,,,,,adapted as radio script work,"A work that consists of a script for a radio program, based on another work.",rdaw:P10098,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is freely translated as work,rdaw:freelyTranslatedAsWork.en,Relates a work to a work that is both an adaptation and a translation into another language of another work.,,,,,,freely translated as work,A work that is both an adaptation and a translation into another language of another work.,rdaw:P10099,property,rdac:C10001,rdaw:P10340,,Published,24.5,2,
is description of work,rdaw:descriptionOfWork.en,Relates a work to a work that is described by a work.,,,,,,description of work,A work that is described by a work.,rdaw:P10100,property,rdac:C10001,rdaw:P10257,rdaw:P10360,Published,23.5,2,
is subseries of,rdaw:subseriesOf.en,"Relates a work to a work that is a successive aggregating work that inspires the overall editorial policy, scope, and style of another successive aggregating work.",,,,,,subseries of,"A work that is a successive aggregating work that inspires the overall editorial policy, scope, and style of another successive aggregating work.",rdaw:P10101,property,rdac:C10001,rdaw:P10290,,Published,24.5,2,
is issue of,rdaw:issueOf.en,"Relates a work to a work that is a successive aggregating work that inspires the editorial policy, scope, and style of a static work.",An issue static work can be a single work or an aggregating work.,in series,,,,issue of,"A work that is a successive aggregating work that inspires the editorial policy, scope, and style of a static work.",rdaw:P10102,property,rdac:C10001,rdaw:P10290,,Published,24.5,2,
is complemented by work,rdaw:complementedByWork.en,Relates a work to a work that is paired with a related work without either work being considered to be predominant.,,,,,,complemented by work,A work that is paired with a related work without either work being considered to be predominant.,rdaw:P10103,property,rdac:C10001,rdaw:P10198,,Published,24.5,2,
is separated into work,rdaw:separatedIntoWork.en,Relates a work to a work that is a diachronic work that continues the partial content of another diachronic work that is continuing.,This element applies in general to a successive work.,continued in part by (work),,,,separated into work,A work that is a diachronic work that continues the partial content of another diachronic work that is continuing.,rdaw:P10104,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is screenplay for work,rdaw:screenplayForWork.en,Relates a work to a work that uses a screenplay and that is complemented by a textual work.,,,,,,screenplay for work,A work that uses a screenplay and that is complemented by a textual work.,rdaw:P10105,property,rdac:C10001,rdaw:P10372,,Published,24.5,2,
is incidental music for work,rdaw:incidentalMusicForWork.en,Relates a work to a work that is a play or other work for the stage that is realized as spoken word and that is complemented by a musical work.,,,,,,incidental music for work,A work that is a play or other work for the stage that is realized as spoken word and that is complemented by a musical work.,rdaw:P10106,property,rdac:C10001,rdaw:P10238,,Published,24.5,2,
has abstract,rdaw:abstract.en,Relates a work to a work that is an objective summary of a work.,,abstracted as work,,,,abstract,A work that is an objective summary of a work.,rdaw:P10107,property,rdac:C10001,rdaw:P10109,,Published,24.5,2,
is augmented by work,rdaw:augmentedByWork.en,Relates a work to a work that adds to the content of a predominant work.,,,,,,augmented by work,A work that adds to the content of a predominant work.,rdaw:P10108,property,rdac:C10001,rdaw:P10198,,Published,24.5,2,
has summary,rdaw:summary.en,Relates a work to a work that is a brief description of a work.,,summarized as work,,,,summary,A work that is a brief description of a work.,rdaw:P10109,property,rdac:C10001,rdaw:P10118,,Published,24.5,2,
has catalogue work (Deprecated),rdaw:catalogueWork.en,Relates a work to a work that consists of a complete enumeration of items arranged systematically. (Deprecated),,,,,,catalogue work (Deprecated),A work that consists of a complete enumeration of items arranged systematically. (Deprecated),rdaw:P10110,property,rdac:C10001,rdaw:P10108,,Deprecated,24.5,2,
has concordance work (Deprecated),rdaw:concordanceWork.en,Relates a work to a work that consists of an index of all or selected words that occur in a realization of a textual work. (Deprecated),,,,,,concordance work (Deprecated),A work that consists of an index of all or selected words that occur in a realization of a textual work. (Deprecated),rdaw:P10111,property,rdac:C10001,rdaw:P10108,,Deprecated,24.5,2,
has addenda work,rdaw:addendaWork.en,Relates a work to a work that consists of brief content that is essential for the completeness of a related work.,,,,,,addenda work,A work that consists of brief content that is essential for the completeness of a related work.,rdaw:P10112,property,rdac:C10001,rdaw:P10108,,Published,24.5,2,
is adapted as libretto work,rdaw:adaptedAsLibrettoWork.en,"Relates a work to a work that consists of the text of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio, based on another work.",,,,,,adapted as libretto work,"A work that consists of the text of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio, based on another work.",rdaw:P10113,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is work reviewed by,rdaw:workReviewedBy.en,Relates a work to a work that is a brief evaluation of a work.,,reviewed in (work),work reviewed in,,,work reviewed by,A work that is a brief evaluation of a work.,rdaw:P10114,property,rdac:C10001,rdaw:P10120,,Published,23.5,2,
is work critiqued by,rdaw:workCritiquedBy.en,Relates a work to a work that is a critical evaluation of a work.,,critiqued in (work),work critiqued in,,,work critiqued by,A work that is a critical evaluation of a work.,rdaw:P10115,property,rdac:C10001,rdaw:P10120,,Published,23.5,2,
